new	1.0	-368.7997	331.3867	136.4003
past	2.0	-343.7997	316.6620	127.4003
past	3.0	-328.6621	302.6157	121.1544
past	4.0	-316.2346	285.6721	121.1560
past	5.0	-293.3375	274.8136	119.5781
past	6.0	-272.5791	259.6929	116.7616
past	7.0	-250.2848	236.0804	107.7616
past	8.0	-233.3485	222.6114	98.7616
past	9.0	-217.8368	197.6114	93.1856
past	10.0	-192.8368	183.6880	85.8609
future	11.0	-177.0211	171.5609	82.3245
future	12.0	-152.0211	158.2946	77.1457
future	13.0	-131.3999	142.2228	68.1457
future	14.0	-109.3096	127.9272	59.1457
future	15.0	-93.4540	102.9272	50.1457
future	16.0	-75.5368	77.9272	46.1771
future	17.0	-57.3865	58.8631	41.7037
future	18.0	-33.7775	39.6090	32.7037
future	19.0	-11.8157	14.6090	23.7037
future	20.0	-3.2371	3.4950	14.7037
new	1.0	-370.0162	329.7346	136.2700
past	1.9	-342.0255	318.5594	127.4960
past	2.9	-328.0832	301.6725	121.1303
past	3.9	-317.5987	283.3874	121.0551
past	5.0	-294.1189	276.4576	119.3995
past	5.9	-270.5471	261.7116	116.6289
past	7.0	-250.0317	236.7721	107.7980
past	8.0	-231.2530	220.1911	98.6152
past	9.0	-216.6307	197.7436	93.4145
past	10.1	-191.3447	184.8242	85.6891
future	11.0	-177.0211	171.5609	82.3245
future	12.0	-152.0211	158.2946	77.1457
future	13.0	-131.3999	142.2228	68.1457
future	14.0	-109.3096	127.9272	59.1457
future	15.0	-93.4540	102.9272	50.1457
future	16.0	-75.5368	77.9272	46.1771
future	17.0	-57.3865	58.8631	41.7037
future	18.0	-33.7775	39.6090	32.7037
future	19.0	-11.8157	14.6090	23.7037
future	20.0	-3.2371	3.4950	14.7037
new	1.1	-371.0420	332.1080	136.3713
past	1.9	-345.5596	317.2518	127.6172
past	3.0	-326.5624	303.8196	121.0937
past	4.0	-314.1013	285.2118	120.9141
past	4.9	-292.3080	276.8107	119.7431
past	6.0	-273.7046	259.5159	116.8631
past	7.1	-247.8270	237.1794	107.7401
past	8.0	-234.0725	222.5343	98.8672
past	9.1	-216.6495	199.8517	93.1111
past	10.0	-190.8960	184.6346	85.9923
future	11.0	-177.0211	171.5609	82.3245
future	12.0	-152.0211	158.2946	77.1457
future	13.0	-131.3999	142.2228	68.1457
future	14.0	-109.3096	127.9272	59.1457
future	15.0	-93.4540	102.9272	50.1457
future	16.0	-75.5368	77.9272	46.1771
future	17.0	-57.3865	58.8631	41.7037
future	18.0	-33.7775	39.6090	32.7037
future	19.0	-11.8157	14.6090	23.7037
future	20.0	-3.2371	3.4950	14.7037
new	1.0	-370.9622	331.7614	136.2500
past	2.0	-341.5425	314.7534	127.6346
past	3.1	-330.8803	304.1666	121.0415
past	3.9	-316.9625	286.3349	121.0870
past	5.0	-290.8441	275.9066	119.7656
past	6.0	-272.7561	257.8635	116.5574
past	7.0	-248.1334	235.8160	107.6669
past	7.9	-231.1472	221.8249	98.9461
past	9.1	-218.6495	196.4673	93.1986
past	10.0	-192.5137	181.8087	85.8944
future	11.0	-177.0211	171.5609	82.3245
future	12.0	-152.0211	158.2946	77.1457
future	13.0	-131.3999	142.2228	68.1457
future	14.0	-109.3096	127.9272	59.1457
future	15.0	-93.4540	102.9272	50.1457
future	16.0	-75.5368	77.9272	46.1771
future	17.0	-57.3865	58.8631	41.7037
future	18.0	-33.7775	39.6090	32.7037
future	19.0	-11.8157	14.6090	23.7037
future	20.0	-3.2371	3.4950	14.7037
new	1.0	-369.9512	333.8064	136.2568
